key,question
story1_question_0_0,주인공은 왜 눈을 가린 채 앉아 있었을까?
story1_question_0_1,주인공의 태도는 긴장감보다 여유로워 보였는가?
story1_question_0_2,주변에 다른 사람이 있는 듯한 기색이 있었나?
story1_question_0_3,"담배를 피우는 행동은 자기 방어적인가, 도발적인가?"
story1_question_0_4,공간은 혼자만의 장소로 보였는가?
story1_question_0_5,주인공은 부상을 입었거나 피곤해 보였는가?
story1_question_0_6,조명이나 연출이 불안정한 분위기를 암시했는가?
story1_question_0_7,"주인공의 손은 떨렸는가, 침착했는가?"
story1_question_0_8,눈을 가린 이유가 스스로 선택한 것처럼 보였는가?
story1_question_0_9,이 장면이 시작이라면 어떤 일이 일어날 것 같은가?
story1_question_0_10,이 장면이 끝이라면 어떤 일이 있었던 것 같았나?
story1_question_0_11,주인공의 상태는 이전에 무언가 겪었다는 인상을 주었는가?
story1_question_1_0,주인공은 어떤 신체 반응으로 뒤를 의식했는가?
story1_question_1_1,"그림자의 실루엣은 위협적인가, 정적인가?"
story1_question_1_2,주인공이 그를 향해 반응하려는 듯했는가?
story1_question_1_3,등장한 인물은 주인공과 어떤 관계로 보였는가?
story1_question_1_4,실루엣의 위치는 은밀함을 강조했는가?
story1_question_1_5,소리나 빛이 인물의 존재를 알렸는가?
story1_question_1_6,주인공이 이미 그를 예상하고 있었던 것 같았는가?
story1_question_1_7,이 장면 이후 어떤 반응이 나올 것 같았나?
story1_question_1_8,주인공은 경계심을 얼마나 드러냈는가?
story1_question_1_9,누가 먼저 움직일 것처럼 보였는가?
story1_question_1_10,두 인물 사이에 긴장이 쌓여 있는 듯했는가?
story1_question_1_11,이 장면에서 이전 갈등의 조짐이 보였는가?
story1_question_2_0,"주인공의 시선 방향은 정면이었는가, 아래였는가?"
story1_question_2_1,"어떤 종류의 감정(공포, 충격, 놀람)이 주를 이루었는가?"
story1_question_2_2,주인공이 당황한 이유는 무엇일 것 같았나?
story1_question_2_3,장면 속에서 주인공이 뒷걸음질 치는 듯한 기색이 있었는가?
story1_question_2_4,화면에는 그 ‘무언가’가 직접적으로 보였는가?
story1_question_2_5,"주변 환경은 낯선가, 익숙한가?"
story1_question_2_6,"이 장면이 갈등의 결과인가, 서막인가?"
story1_question_2_7,당황의 순간은 갑작스럽게 연출되었는가?
story1_question_2_8,그 무언가를 이전에 본 적 있는 것처럼 보였는가?
story1_question_2_9,주인공이 그 직후 어떤 선택을 할 것 같았는가?
story1_question_2_10,당황함이 내면적 충격인지 외적 위협인지 추측할 수 있었는가?
story1_question_2_11,이 장면 이전에 어떤 사건이 있었을 것 같았는가?
story1_question_3_0,"이 인물의 걸음은 급했는가, 느렸는가?"
story1_question_3_1,걸음걸이에서 위협적인 느낌이 있었는가?
story1_question_3_2,이 장면은 누군가를 향한 복수나 추적처럼 보였는가?
story1_question_3_3,총을 들고 걷는 태도는 목적이 분명해 보였는가?
story1_question_3_4,총의 위치(겨눈 정도 등)로 어떤 긴장이 느껴졌는가?
story1_question_3_5,이 장면은 마지막을 암시하는 듯했는가?
story1_question_3_6,"인물은 익숙한 얼굴인가, 생소한 인물인가?"
story1_question_3_7,카메라 쪽 인물이 위험에 처해 있을 것 같았는가?
story1_question_3_8,걸어오는 장소는 사건 현장 같았는가?
story1_question_3_9,이 인물은 전 장면에서 언급된 적이 있을 듯한가?
story1_question_3_10,조명이 이 인물을 강조하거나 숨기고 있었는가?
story1_question_3_11,총을 들고 등장한 인물의 감정은 드러났는가?
story1_question_4_0,누가 먼저 총을 겨눈 것처럼 보였는가?
story1_question_4_1,양쪽의 위치나 자세에서 우위가 느껴졌는가?
story1_question_4_2,"서로 말없이 겨누었는가, 대화가 있었을 것 같은가?"
story1_question_4_3,이 장면 이전에 갈등이 있었을 것 같았는가?
story1_question_4_4,"총을 든 손이 흔들렸는가, 안정적이었는가?"
story1_question_4_5,어느 쪽이 먼저 방아쇠를 당길 것 같았는가?
story1_question_4_6,"주변은 폐허, 실내, 야외 중 어디로 보였는가?"
story1_question_4_7,"감정적 대립(복수, 배신 등)이 느껴졌는가?"
story1_question_4_8,총을 겨누는 이유가 명확히 드러났는가?
story1_question_4_9,두 사람 중 누군가 망설이고 있었는가?
story1_question_4_10,"이 장면이 결말처럼 보였는가, 절정처럼 보였는가?"
story1_question_4_11,이 장면 이후에 벌어질 일을 예측할 수 있었는가?
